'BanditRL.OnlineLearning.prefixCoefficient_eq_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.linearFTLPredict_prefix' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.linearFTLPredict_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.linearFTLPredict_minimizes' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.failure_prefixCoefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.failure_prediction' depends on axioms: [propext, Classical.choice, Quot.sound]
'BanditRL.OnlineLearning.example_2_10' depends on axioms: [propext, Classical.choice, Quot.sound]
'FTLFailureProbe.six_rounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'FTLFailureProbe.actual_predictions' depends on axioms: [propext, Classical.choice, Quot.sound]
